"PairID","FirstYear","Site","AgeMaleFirst","AgeFemaleFirst","ExpMaleFirst","ExpFemaleFirst","MeanLaying","MeanFledge","Qlty","NbBreedYear","Outcome","BtwDiv"
"99608518_99602866",1991,"Q45",5,3,0,0,33.5,0.333333333333333,0.266666666666667,3,"DEAD",FALSE
"78558570_99610277",1991,"Q47",8,7,0,0,24.5714285714286,1,0.947368421052632,14,"DEAD",FALSE
"99669944_99610277",2005,"Q47",22,8,14,0,44.5,1,0.947368421052632,4,"DEAD",FALSE
"99669944_99687272",2009,"Q47",11,12,6,4,35.5,1,0.947368421052632,2,"DEAD",FALSE
"99607237_99601001",1995,"Q48",15,8,2,4,19,1,0.9,6,"DEAD",FALSE
"99653374_99680538",2009,"Q48",13,19,7,9,36.6666666666667,0.666666666666667,0.9,3,"DEAD",FALSE
"99607237_99680537",2002,"Q48",6,15,1,11,24,1,0.9,2,"DEAD",FALSE
"99608198_99662574",1994,"Q49",5,11,0,3,21.625,1,0.75,8,"DEAD",FALSE
"99676604_99685509",2005,"Q49",5,10,0,5,40.3333333333333,0.833333333333333,0.75,6,"DEAD",FALSE
"99676604_99670770",2002,"Q49",9,7,4,2,29,1,0.75,2,"DEAD",FALSE
"99608198_99660151",2002,"Q50",9,19,0,11,32,1,0.95,2,"DEAD",FALSE
"99658331_99660151",2004,"Q50",11,12,2,6,39,1,0.95,8,"DEAD",FALSE
"99654043_99602020",1991,"Q50",10,5,0,0,34.3333333333333,1,0.95,3,"DIV",FALSE
"99654043_99659548",1994,"Q50",6,8,1,3,20,0.666666666666667,0.95,3,"DIV",FALSE
"99662573_99659548",1997,"Q51",9,8,4,3,26,0.75,0.6,4,"DEAD",FALSE
"99662573_99680538",2005,"Q51",9,16,3,11,46.3333333333333,0,0.6,3,"DIV",FALSE
"99662573_99670823",2001,"Q51",8,12,3,7,36.75,1,0.6,4,"DEAD",FALSE
"99662573_118600081",2008,"Q51",0,19,0,14,35,1,0.6,2,"DEAD",FALSE
"99659549_99602018",1994,"Q51",13,6,3,0,26.25,0.5,0.6,4,"DEAD",FALSE
"99659549_99670823",1998,"Q52",5,10,0,4,28,0.5,0.4,2,"DEAD",FALSE
"99653374_99683073",2002,"Q53",5,12,0,2,25.4285714285714,0.857142857142857,0.666666666666667,7,"DIV",FALSE
"99601723_99654144",1991,"Q53",5,6,0,0,31.3333333333333,0.666666666666667,0.666666666666667,6,"SAME",FALSE
"118601135_99679695",2009,"Q54",8,5,3,0,35,0.5,0.5,2,"DEAD",FALSE
"99687268_99679695",2006,"Q54",5,8,0,3,44,0.666666666666667,0.5,3,"DEAD",FALSE
"99669597_78545518",1998,"Q55",17,6,NA,0,21.25,0.5,0.235294117647059,4,"DEAD",FALSE
"99662527_99687272",2004,"Q55",6,15,1,8,39.3333333333333,0.333333333333333,0.235294117647059,3,"SAME",FALSE
"99679699_99656261",2006,"Q57",15,5,6,0,45.5,1,0.631578947368421,2,"DEAD",FALSE
"99667197_99679660",2006,"Q59",5,15,0,10,38,1,0.842105263157895,4,"DEAD",FALSE
"99667197_78542835",1996,"Q59",17,5,5,0,25.1111111111111,0.75,0.842105263157895,10,"DEAD",FALSE
"99667197_99683071",2010,"Q59",13,19,8,14,44.5,1,0.842105263157895,2,"DEAD",FALSE
"99609493_99608524",1993,"Q62",5,5,0,0,23.3333333333333,0,0,4,"DIV",FALSE
"78560340_99604128",1991,"Q63",5,7,0,0,33.5,0,0.0625,2,"DEAD",FALSE
"99669946_99698202",2007,"Q63",5,10,0,4,43.5,1,0.0625,2,"DIV",FALSE
"99669946_99684918",2009,"Q63",7,12,0,6,36.5,0,0.0625,2,"DIV",FALSE
"99669962_99685520",2005,"Q65",5,8,0,2,48.5,1,0.75,2,"DEAD",FALSE
"99609493_99653391",2001,"Q67",11,13,5,8,34.2,0.777777777777778,0.692307692307692,11,"DEAD",FALSE
"99659652_99602112",1993,"Q70",12,5,NA,0,29.5,1,NA,2,"DEAD",FALSE
"118601250_118601180",2009,"Q84",5,5,0,0,33.5,1,0.4,2,"DEAD",FALSE
"78560228_99654144",1998,"QT5",12,14,7,1,31.2727272727273,0.714285714285714,0.6,12,"DEAD",FALSE
"99679693_99652936",2008,"QT11",18,7,13,2,41,1,0.75,3,"DEAD",FALSE
"99678712_99687270",2008,"QT14",10,8,5,3,39.3333333333333,0.5,NA,3,"DEAD",FALSE
"99697024_99664858",2007,"QT17",12,5,8,0,45,0.5,0.714285714285714,3,"DEAD",FALSE
"99679693_99687271",2006,"QT18",8,5,3,0,45.5,1,0.5,2,"DEAD",FALSE
"99659652_99663856",1997,"QBA1",7,9,2,4,19.5,1,0.666666666666667,2,"DEAD",FALSE
"99670901_99602117",1998,"QBA20",17,5,NA,0,27,1,NA,2,"DEAD",TRUE
