"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",0.412294929642225,0.596640862728651,-0.757099673010838,1.58168953229529
"cond(stdExp)",-1.22049315369943,1.02590618446732,-3.23123232677229,0.79024601937343
"cond(stdAge)",-1.0520906078609,1.03097388534645,-3.07276229214127,0.968581076419476
"cond(stdSex)",-0.288348513929627,1.0020213422114,-2.25227425640446,1.6755772285452
"cond(stdExp:stdSex)",-1.77187234721829,2.06941944579908,-5.82785992989132,2.28411523545475
"cond(stdAge:stdSex)",-0.573475357039646,2.07574371252697,-4.64185827472797,3.49490756064868
