"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",0.549410956433294,0.590523685205924,-0.607994198588184,1.70681611145477
"cond(stdAge)",-1.30060121358687,1.18839861326791,-3.62981969486931,1.02861726769556
"cond(stdExp)",-1.2903866162965,1.1857081368495,-3.61433186069761,1.03355862810461
"cond(stdSex)",0.518924650006428,1.18604515785925,-1.80568114343582,2.84353044344868
"cond(stdExp:stdSex)",-1.62753512278592,2.37526611883443,-6.28297116939965,3.0279009238278
"cond(stdAge:stdSex)",-0.472952206977694,2.3915725091039,-5.16034819123742,4.21444377728203
