"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-0.303163024217475,2.66038720954349,-5.51742613985373,4.91110009141878
"cond(stdStatus)",3.34516951039761,2.25438491373045,-1.0733437278045,7.76368274859972
"cond(stdSex)",0.818362644557058,2.00770448160175,-3.11666583098204,4.75339112009615
"cond(stdSex:stdStatus)",0.693548680694326,4.12064047728543,-7.38275824802305,8.7698556094117
