"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-0.149908714888018,0.300760314283049,-0.739388098861741,0.439570669085705
"cond(stdSex)",0.225317309899933,0.508842706151655,-0.771996067953208,1.22263068775307
"cond(stdExp)",0.712946420258754,0.556984082147212,-0.378722320711881,1.80461516122939
"cond(stdExp:stdSex)",-2.19223826969837,1.10573056373039,-4.35943035121512,-0.0250461881816322
"cond(stdAge)",0.554914414808579,0.548400404631809,-0.51993062737696,1.62975945699412
"cond(stdAge:stdSex)",-0.703324211484715,1.04823506951056,-2.75782719505726,1.35117877208782
