"Estimate","Est_Error","Q2.5","Q97.5"
"intercept",0.465243495951442,1.00428044210482,-1.48933300514476,2.47690795749798
"stdSex",0.178950477683564,1.61157857121409,-2.96040310406559,3.37380025379528
"stdAge",-1.63508833949284,1.60591476598193,-4.78207767647428,1.52379868151211
"stdSex:stdAge",-2.85312240836452,2.81271781307773,-8.29711943732905,2.75505188491294
"stdExp",-1.38527639162908,1.64460898671145,-4.60490780978344,1.86977954967835
"stdSex:stdExp",-3.88792842987836,2.77946805339968,-9.27031480396133,1.60163367858294
