"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-0.587469482822018,0.496679768540549,-1.56094394101118,0.386004975367147
"cond(stdStatus)",-2.50076058427892,1.11587142255134,-4.68782838385703,-0.313692784700816
"cond(stdSex)",-1.1576466081968,1.24337479796183,-3.59461643148675,1.27932321509314
"cond(stdSex:stdStatus)",-3.22575988599193,2.44120720530527,-8.01043808718993,1.55891831520607
