"Estimate","Est_Error","Q2.5","Q97.5"
"intercept",0.0743736369105575,0.0966332715609343,-0.119233746035462,0.26291863790836
"stdExp",0.282471878991273,0.184044972579005,-0.0824275906135372,0.65113328129916
"stdSex",-0.0671830280641081,0.171537781326833,-0.403860762305297,0.274496476498601
"stdExp:stdSex",-0.221534125241094,0.402110076868327,-1.00095167763391,0.583113470278018
"stdAge",0.19234512157199,0.179369365849852,-0.168395293649971,0.541656606832914
