"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-3.95643744955105,0.899457251596034,-5.71934126831266,-2.19353363078945
"cond(stdStatus)",-2.26457973079756,0.950544263877331,-4.12761225370827,-0.401547207886855
"cond(stdSex)",-0.466721621150313,0.753388182792083,-1.94333532580087,1.00989208350025
"cond(stdSex:stdStatus)",-2.5718886860815,1.92337650573161,-6.34163736602595,1.19785999386294
