"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-3.48984214764105,2.73692971231453,-8.85412581199511,1.87444151671301
"cond(stdSex)",-2.39848122233395,1.90111413801459,-6.12459646334246,1.32763401867456
"cond(stdExp)",0.87561753122955,2.16664116088602,-3.37092111152911,5.12215617398821
"cond(stdAge)",0.501063763204056,2.17677233329645,-3.7653316126002,4.76745913900832
"cond(stdExp:stdSex)",-2.17916394000117,4.28747249657645,-10.582455617997,6.22412773799471
"cond(stdAge:stdSex)",-0.0140425997923098,4.32155735934096,-8.48413938122462,8.45605418164
