"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",0.100505752440606,0.0800364769621326,-0.0563628598546439,0.257374364735855
"cond(stdStatus)",0.164016327227608,0.117162457340158,-0.0656178694993126,0.393650523954528
"cond(stdSex)",-0.0128831417306274,0.0828504157517151,-0.175266972708159,0.149500689246904
