"Estimate","Est_Error","Q2.5","Q97.5"
"intercept",0.385047538892805,0.855372400515627,-1.29185093014299,2.10721638706669
"stdSex",-0.473129690750658,1.26864516987356,-2.95365658426568,2.00171814623434
"stdAge",-0.870385982291374,1.37209808321867,-3.60723540111749,1.84751541670381
"stdSex:stdAge",-3.21585911789838,2.42565470806745,-7.88622991304454,1.66712995843879
"stdExp",-0.771965243807561,1.40343150914429,-3.5540940864143,1.96532167318203
"stdSex:stdExp",-4.16108861706989,2.37262528188798,-8.74207568117912,0.486986434587447
